
---------- Begin Simulation Statistics ----------
system.cpu.memDep0.insertedLoads                 2545                       # Number of loads inserted to the mem dependence unit.
system.cpu.memDep0.insertedStores                1699                       # Number of stores inserted to the mem dependence unit.
system.cpu.misc_regfile_reads                   25212                       # number of misc regfile reads
system.cpu.misc_regfile_writes                     46                       # number of misc regfile writes
system.cpu.numCycles                            33396                       # number of cpu cycles simulated
system.cpu.numWorkItemsCompleted                    0                       # number of work items this cpu completed
system.cpu.numWorkItemsStarted                      0                       # number of work items this cpu started
system.cpu.timesIdled                             198                       # Number of times that the entire CPU went into an idle state and unscheduled itself
system.cpu.vec_regfile_reads                       32                       # number of vector regfile reads
system.cpu.workload.numSyscalls                    13                       # Number of system calls
system.l2bus.snoop_filter.hit_multi_requests           13                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.l2bus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.l2bus.snoop_filter.hit_single_requests           83                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.l2bus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.l2bus.snoop_filter.tot_requests            506                       # Total number of requests made to the snoop filter.
system.l2bus.snoop_filter.tot_snoops                0                       # Total number of snoops made to the snoop filter.
system.membus.snoop_filter.hit_multi_requests            0                       # Number of requests hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_multi_snoops            0                       # Number of snoops hitting in the snoop filter with multiple (>1) holders of the requested data.
system.membus.snoop_filter.hit_single_requests            0                       # Number of requests hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.hit_single_snoops            0                       # Number of snoops hitting in the snoop filter with a single holder of the requested data.
system.membus.snoop_filter.tot_requests           404                       # Total number of requests made to the snoop filter.
system.membus.snoop_filter.tot_snoops               0                       # Total number of snoops made to the snoop filter.
system.clk_domain.clock                           500                       # Clock period in ticks
system.clk_domain.voltage_domain.voltage            2                       # Voltage in Volts
system.cpu.branchPred.lookups                    3488                       # Number of BP lookups
system.cpu.branchPred.condPredicted              2228                       # Number of conditional branches predicted
system.cpu.branchPred.condIncorrect               531                       # Number of conditional branches incorrect
system.cpu.branchPred.BTBLookups                 1757                       # Number of BTB lookups
system.cpu.branchPred.BTBHits                    1056                       # Number of BTB hits
system.cpu.branchPred.BTBHitPct             60.102447                       # BTB Hit Percentage
system.cpu.branchPred.RASUsed                     324                       # Number of times the RAS was used to get a target.
system.cpu.branchPred.RASIncorrect                 65                       # Number of incorrect RAS predictions.
system.cpu.branchPred.indirectLookups             270                       # Number of indirect predictor lookups.
system.cpu.branchPred.indirectHits                 13                       # Number of indirect target hits.
system.cpu.branchPred.indirectMisses              257                       # Number of indirect misses.
system.cpu.branchPred.indirectMispredicted           63                       # Number of mispredicted indirect branches.
system.cpu.commit.commitSquashedInsts            6020                       # The number of squashed insts skipped by commit
system.cpu.commit.commitNonSpecStalls              37                       # The number of times commit has been forced to stall to communicate backwards
system.cpu.commit.branchMispredicts               373                       # The number of times a branch was mispredicted
system.cpu.commit.numCommittedDist::samples        12736                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::mean     0.462783                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::stdev     1.324243                       # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::0           10522     82.62%     82.62% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::1             919      7.22%     89.83% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::2             490      3.85%     93.68% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::3             222      1.74%     95.42% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::4             114      0.90%     96.32% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::5             229      1.80%     98.12% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::6              77      0.60%     98.72% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::7              38      0.30%     99.02% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::8             125      0.98%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
