threshold,fpr,tpr
0.0711955,0.250158,0.636804
0.0711114,0.250158,0.639225
0.0710492,0.250158,0.641646
0.0708659,0.250158,0.644068
0.0708063,0.250788,0.644068
0.070787,0.251418,0.644068
0.0707868,0.251418,0.646489
0.0707832,0.252048,0.646489
0.0706575,0.252048,0.64891
0.070632,0.252678,0.64891
0.070375,0.253308,0.64891
0.0703371,0.253938,0.64891
0.0703012,0.253938,0.651332
0.070178,0.255198,0.651332
0.0701305,0.255829,0.651332
0.0699699,0.256459,0.651332
0.0699458,0.257089,0.651332
0.0699312,0.257089,0.653753
0.0698441,0.257719,0.653753
0.069793,0.258349,0.653753
0.0695631,0.258349,0.656174
0.0694959,0.258349,0.661017
0.0694776,0.258979,0.661017
0.0694089,0.259609,0.661017
0.0693741,0.260239,0.661017
0.0691887,0.26087,0.661017
0.0691686,0.2615,0.661017
0.0691408,0.2615,0.663438
0.0689945,0.26213,0.663438
0.0689323,0.26276,0.663438
0.0689215,0.26339,0.663438
0.0688872,0.26402,0.663438
0.068871,0.26465,0.663438
0.0688449,0.26528,0.663438
0.0687277,0.265911,0.663438
0.0687176,0.265911,0.66586
0.068686,0.265911,0.668281
0.0686401,0.266541,0.668281
0.0685631,0.267171,0.668281
0.0685358,0.267171,0.670702
0.0684599,0.267801,0.670702
0.0684548,0.267801,0.673123
0.0683575,0.268431,0.673123
0.0683265,0.269061,0.673123
0.0682543,0.269061,0.675545
0.0682538,0.269691,0.675545
0.0681913,0.270321,0.675545
0.0681907,0.270951,0.675545
0.0681109,0.271582,0.675545
0.06801,0.272212,0.675545
0.0679828,0.272842,0.675545
0.0679449,0.273472,0.675545
0.0676536,0.274102,0.675545
0.067648,0.274102,0.677966
0.0676224,0.274732,0.677966
0.067555,0.275362,0.677966
0.0675078,0.275992,0.677966
0.0674013,0.276623,0.677966
0.0672673,0.277253,0.677966
0.0672439,0.277883,0.677966
0.0672397,0.278513,0.677966
0.0672392,0.279143,0.677966
0.0671893,0.279773,0.677966
0.0670986,0.279773,0.680387
0.0668419,0.279773,0.682809
0.0668316,0.280403,0.682809
0.0668169,0.281033,0.682809
0.066784,0.281033,0.68523
0.066763,0.281664,0.68523
0.0667291,0.281664,0.687651
0.0666871,0.282294,0.687651
0.0665416,0.282924,0.687651
0.0663847,0.283554,0.687651
0.0663682,0.284184,0.687651
0.0663642,0.285444,0.687651
0.0662937,0.286074,0.687651
0.066241,0.286074,0.690073
0.0660907,0.286074,0.692494
0.0660808,0.286704,0.692494
0.0660154,0.287335,0.692494
0.0659969,0.287965,0.692494
0.0659648,0.288595,0.692494
0.0659647,0.288595,0.694915
0.0657827,0.289225,0.694915
0.0657509,0.289225,0.697337
0.0656866,0.289855,0.697337
0.0656677,0.290485,0.697337
0.0656404,0.291115,0.697337
0.0655552,0.291115,0.699758
0.065524,0.291745,0.699758
0.0654563,0.292376,0.699758
0.0653903,0.293006,0.699758
0.0652557,0.294266,0.699758
0.0651803,0.294266,0.702179
0.0651748,0.294896,0.702179
0.0651735,0.295526,0.702179
0.0650942,0.296156,0.702179
0.065045,0.296786,0.702179
0.0650185,0.297417,0.702179
0.0650046,0.298047,0.702179
0.0649954,0.298047,0.7046
0.0648416,0.298677,0.7046
0.0648048,0.299307,0.7046
0.0647786,0.299937,0.7046
0.0647592,0.300567,0.7046
0.0646734,0.301197,0.7046
0.0645945,0.301827,0.7046
0.064578,0.302457,0.7046
0.0645169,0.302457,0.707022
0.0642935,0.303088,0.707022
0.064215,0.303088,0.709443
0.064096,0.303718,0.709443
0.0640474,0.304348,0.709443
0.0640294,0.304978,0.709443
0.0639664,0.304978,0.711864
0.0639001,0.305608,0.711864
0.0638367,0.306238,0.711864
0.063811,0.306868,0.711864
0.0636516,0.307498,0.711864
0.0636396,0.308129,0.711864
0.0635579,0.308129,0.714286
0.0634811,0.308129,0.716707
0.0634637,0.308759,0.716707
0.0634566,0.309389,0.716707
0.0631532,0.310019,0.716707
0.0631064,0.310649,0.716707
0.0630796,0.311279,0.716707
0.0630747,0.311909,0.716707
0.0630628,0.31317,0.716707
0.0628852,0.3138,0.716707
0.0628012,0.31443,0.716707
0.0627463,0.31443,0.719128
0.0626447,0.31506,0.719128
0.0625809,0.31569,0.719128
0.0624805,0.31632,0.719128
0.0624386,0.31695,0.719128
0.0624021,0.31695,0.72155
0.0623836,0.31758,0.72155
0.0623387,0.31821,0.72155
0.0622216,0.318841,0.72155
0.0620549,0.319471,0.72155
0.0619785,0.320731,0.72155
0.0619611,0.321361,0.72155
0.061939,0.321991,0.72155
0.0619159,0.322621,0.72155
0.0619051,0.323251,0.72155
0.0618142,0.323882,0.72155
0.0618099,0.323882,0.723971
0.0617857,0.323882,0.726392
0.0617003,0.323882,0.728814
0.0615712,0.324512,0.728814
0.0615466,0.325142,0.728814
0.0615201,0.325772,0.728814
0.0614819,0.326402,0.728814
0.0614231,0.327032,0.728814
0.0614157,0.327032,0.731235
0.0613416,0.328292,0.731235
0.0613371,0.328922,0.731235
0.0613038,0.329553,0.731235
0.0613011,0.329553,0.733656
0.0612926,0.330813,0.733656
0.0612611,0.331443,0.733656
0.0612594,0.331443,0.736077
0.0612459,0.331443,0.738499
0.0610476,0.332073,0.738499
0.0610391,0.332703,0.738499
0.0610324,0.333333,0.738499
0.0609762,0.333963,0.738499
0.0609538,0.334594,0.738499
0.0609493,0.335224,0.738499
0.0609429,0.335854,0.738499
0.0609294,0.335854,0.74092
